"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords"
"Dahri, N.A.; Mugahed Al-Rahmi, W.M.; Almogren, A.S.; Yahaya, N.; Vighio, M.S.; Al-Maatuok, Q.; Al-Rahmi, A.M.; Al-Adwan, A.S.","Dahri, Nisar Ahmed (57207993698); Mugahed Al-Rahmi, Waleed Mugahed (57220769864); Almogren, Abeer S. (57700954600); Yahaya, Noraffandy Affandi (37041809100); Vighio, Muhammad Saleem (57190284383); Al-Maatuok, Qusay (57810462000); Al-Rahmi, Ali Mugahed (57209408442); Al-Adwan, Ahmad Samed (57126225800)","57207993698; 57220769864; 57700954600; 37041809100; 57190284383; 57810462000; 57209408442; 57126225800","Acceptance of Mobile Learning Technology by Teachers: Influencing Mobile Self-Efficacy and 21st-Century Skills-Based Training","2023","Sustainability (Switzerland)","45","10.3390/su15118514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161559860&doi=10.3390%2Fsu15118514&partnerID=40&md5=d7258fde4cb8d3d23658e5c5ded3269b","Quaid-e-Awam University of Engineering, Science & Technology, Nawabshah, Pakistan; Universiti Teknologi Malaysia, Johor Bahru, Malaysia; King Saud University, Riyadh, Saudi Arabia; University of Staffordshire, Stoke-on-Trent, United Kingdom; Universiti Tun Hussein Onn Malaysia, Batu Pahat, Malaysia; Al-Ahliyya Amman University, Amman, Jordan","Dahri, Nisar Ahmed, Faculty of Science, Quaid-e-Awam University of Engineering, Science & Technology, Nawabshah, Pakistan; Mugahed Al-Rahmi, Waleed Mugahed, Faculty of Social Sciences and Humanities, Universiti Teknologi Malaysia, Johor Bahru, Malaysia; Almogren, Abeer S., Department of Visual Arts, King Saud University, Riyadh, Saudi Arabia; Yahaya, Noraffandy Affandi, Faculty of Social Sciences and Humanities, Universiti Teknologi Malaysia, Johor Bahru, Malaysia; Vighio, Muhammad Saleem, Faculty of Science, Quaid-e-Awam University of Engineering, Science & Technology, Nawabshah, Pakistan; Al-Maatuok, Qusay, Technologies and Arts, University of Staffordshire, Stoke-on-Trent, United Kingdom; Al-Rahmi, Ali Mugahed, Faculty of Technology Management and Business, Universiti Tun Hussein Onn Malaysia, Batu Pahat, Malaysia; Al-Adwan, Ahmad Samed, Department of Business Technology, Al-Ahliyya Amman University, Amman, Jordan","This study aimed to investigate the factors influencing the acceptance of mobile learning technology for 21st-century skills-based training among teachers in Saudi Arabia and Pakistan. This study adopted the Unified Theory of Acceptance and Use of Technology (UTAUT) model, which included constructs such as performance expectancy, effort expectancy, facilitating conditions, social influence, mobile self-efficacy, student self-efficacy, behavioural intention, 21st-century skills-based training, and creative thinking skills. A survey was conducted with 619 teachers from Saudi Arabia and Pakistan who participated in a two-week mobile learning-based training session. The data were analysed using structural equation modeling (SEM). The results show that all hypotheses were supported, indicating a positive relationship between the constructs and the acceptance and use of mobile learning technology for 21st-century skills-based training. This study’s findings suggest that by emphasising factors such as performance expectancy, effort expectancy, facilitating conditions, social influence, mobile self-efficacy, and student self-efficacy when designing mobile learning interventions, teachers will be more likely to accept and use mobile learning technology for 21st-century skills-based training and contributed to sustainability by providing increased access to quality education. © 2023 Elsevier B.V., All rights reserved.","21st-century skills; creative thinking skills; lifelong learning; mobile learning acceptance; teacher professional development; UTAUT","educational development; learning; student; sustainability; training; twenty first century; Pakistan; Saudi Arabia"
"Karbasioun, M.; Gholamalipour, A.; Safaie, N.; Shirazizadeh, R.; Amidpour, M.","Karbasioun, Matin (57477511400); Gholamalipour, Afshin (57211460087); Safaie, Nasser (57211190804); Shirazizadeh, Rasool (57223329897); Amidpour, M. (20733433700)","57477511400; 57211460087; 57211190804; 57223329897; 20733433700","Developing sustainable power systems by evaluating techno-economic, environmental, and social indicators from a system dynamics approach","2023","Utilities Policy","14","10.1016/j.jup.2023.101566","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154609586&doi=10.1016%2Fj.jup.2023.101566&partnerID=40&md5=b14ac0ff4919343047228d5e34108473","K. N. Toosi University of Technology, Tehran, Iran; K. N. Toosi University of Technology, Tehran, Iran; Concordia University, Montreal, Canada","Karbasioun, Matin, Department of Energy System Engineering, K. N. Toosi University of Technology, Tehran, Iran; Gholamalipour, Afshin, Department of Energy System Engineering, K. N. Toosi University of Technology, Tehran, Iran; Safaie, Nasser, Department of Socio-economic Systems, K. N. Toosi University of Technology, Tehran, Iran; Shirazizadeh, Rasool, Department of Building, Concordia University, Montreal, Canada; Amidpour, M., Department of Energy System Engineering, K. N. Toosi University of Technology, Tehran, Iran","The transition from fossil fuel-based energy systems to renewable energy systems (RES), especially in fossil-fuel-rich countries, is a challenging process requiring consideration of numerous factors, including technological feasibility, cost-effectiveness, and public acceptance. As governments play a crucial role in determining energy and environmental policy, developing practical policymaking tools encourages them to stimulate the adoption of renewable energy technology. This study proposes a novel framework to model an energy system transition focused on the power generation and its dynamic behavior of fossil-fuel-rich countries using the System Dynamics (SD) approach and then assesses the techno-economic and environmental impacts of various economic, technical, and environmental policies using the Multi-Criteria Decision-Analysis technique (MCDA). This study aims to compare the development of renewable technologies development versus improving the current technology efficiency under three different “business as usual,” “basic development,” and “advanced development” scenarios by assessing economic, environmental, and social indicators over the horizon of 2016–2040 in fossil-rich-fuel countries. The proposed framework was applied to Iran, a fossil-fuel-rich country. According to the case study results, in all of the defined policies under three scenarios, the improvement of fossil fuel technologies received the highest score indicating that improvement in the efficiency of the current energy system by utilizing combined cycle systems is an inevitable step. Taking into account the water shortage in Iran, the second crucial stage is the implementation of water-efficient renewable technologies. © 2023 Elsevier B.V., All rights reserved.","And social nexus; Energy; Energy system modeling; Energy transition; Environment; Policymaking; Power generation; Sustainability","adaptive management; alternative energy; cost-benefit analysis; decision analysis; efficiency measurement; energy planning; energy policy; feasibility study; fossil fuel; governance approach; multicriteria analysis; policy making; power generation; technological development; technology adoption; Iran"
"Ariza-Montes, A.; Quan, W.; Radić, A.; Koo, B.; Kim, J.J.; Chua, B.-L.; Han, H.","Ariza-Montes, Antonio J. (57217331422); Quan, Wei (57219469549); Radić, Aleksandar (57195509686); Koo, Bonhak (57202445131); Kim, Jinkyung Jenny (57211615845); Chua, Bee Lia (36240401200); Han, Heesup (21233360400)","57217331422; 57219469549; 57195509686; 57202445131; 57211615845; 36240401200; 21233360400","nderstanding the behavioral intention to use urban air autonomous vehicles","2023","Technological Forecasting and Social Change","26","10.1016/j.techfore.2023.122483","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149435925&doi=10.1016%2Fj.techfore.2023.122483&partnerID=40&md5=541101774a4dd8e6d3a867caab6b1ad9","Universidad Loyola Andalucia, Cordoba, Spain; Sejong University, Seoul, South Korea; Texas Tech University, Lubbock, United States; Youngsan University, Yangsan, South Korea; Universiti Putra Malaysia, Serdang, Malaysia","Ariza-Montes, Antonio J., Social Matters Research Group, Universidad Loyola Andalucia, Cordoba, Spain; Quan, Wei, College of Hospitality and Tourism Management, Sejong University, Seoul, South Korea; Radić, Aleksandar, ; Koo, Bonhak, College of Human Sciences, Texas Tech University, Lubbock, United States; Kim, Jinkyung Jenny, School of Hotel and Tourism Management, Youngsan University, Yangsan, South Korea; Chua, Bee Lia, Department of Food Service and Management, Universiti Putra Malaysia, Serdang, Malaysia; Han, Heesup, College of Hospitality and Tourism Management, Sejong University, Seoul, South Korea","In the following years, Urban Air Mobility (UAM) will transform the transport industry. Researching the intention to use air vehicles is not easy, as it is a new mode of transport that has not yet been implemented, so there are no available observed data. This fact is why the many gaps and uncertainties remain unexplored in academic research on this topic. The most critical issues for the successful implementation of a UAM transport system is public acceptance and user adoption. Based on technology adoption theories, this paper investigates critical constructs in generating usage intention to use urban air autonomous vehicles (UAAVs) and the mediator role of pro-environmental behavior and human values in this relationship. Covariance-based structural equation modeling (CB-SEM) was used with a sample from the US and China. The results confirm that attitudes, performance expectancy, and social influence reinforce the intention to use UAAVs, while anxiety reduces it. The UAAV acceptance model is very similar between the Chinese and US populations. The only difference between the two samples is that social influence has a positive and significant effect on intention to use among US people. At the same time, this variable is not essential in the Chinese sample. © 2023 Elsevier B.V., All rights reserved.","Covariance-based structural equation modeling; Human values; Intention to use; Pro-environmental behavior; Urban air autonomous vehicles","Air mobility; Behavioral research; Economic and social effects; Environmental technology; Urban transportation; Autonomous Vehicles; Behavioral intention; Covariance-based structural equation modeling; Human values; Intention to use; Pro-environmental behaviors; Social influence; Structural equation models; Urban air; Urban air autonomous vehicle; Autonomous vehicles; air transportation; environmentalism; numerical model; regression analysis; technology adoption; unmanned vehicle; China; United States"
"Tennakoon, H.; Hansen, J.M.; Saridakis, G.; Samaratunga, M.; Hansen, J.W.","Tennakoon, Hemamali (55830039100); Hansen, Jared M. (26638172100); Saridakis, George (22938623700); Samaratunga, Mahesha (58298259900); Hansen, Joseph W. (57715063600)","55830039100; 26638172100; 22938623700; 58298259900; 57715063600","Drivers and Barriers of Social Sustainable Development and Growth of Online Higher Education: The Roles of Perceived Ease of Use and Perceived Usefulness","2023","Sustainability (Switzerland)","9","10.3390/su15108319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160858052&doi=10.3390%2Fsu15108319&partnerID=40&md5=3146aab5d73aa35716c23b4906cf735d","Brunel Business School, Uxbridge, United Kingdom; Utah State University, Logan, United States; Kent Business School, Canterbury, United Kingdom; Queen Mary University of London, London, United Kingdom; BuyBox Experts, Lehi, United States","Tennakoon, Hemamali, Brunel Business School, Uxbridge, United Kingdom; Hansen, Jared M., Utah State University, Logan, United States; Saridakis, George, Kent Business School, Canterbury, United Kingdom; Samaratunga, Mahesha, Queen Mary University of London, London, United Kingdom; Hansen, Joseph W., BuyBox Experts, Lehi, United States","Online and distance learning classes have been touted for the last several years as an innovation in higher education that should help improve the entrepreneurial growth mindset of students. However, the reported negative online learning experience of many college students worldwide during the COVID-19 epidemic has shown that many opportunities remain to improve the sustainable development and growth of online visual instruction practices. In this study, we outline and investigate a set of hypotheses related to the perceived usefulness and perceived ease of use (from TAM) of online video instruction in higher education courses during the pandemic. We employ grounded theory using autoethnographic case studies as a data source. We found that (a) synchronous broadcast lectures improve participant attitude (H1) and motivation (H2) toward online instruction, (b) prerecorded video instruction increases participant perceived “ease of use” (H3) and perceived behavioral control (H4) of online instruction, but (c) indicators of recorded dates on pre-recorded video instruction decreases participant perceived “usefulness” (H5) and “certainty” (H6) of online instruction. We enrich the insights of popular motivation models for organizations and the higher education industry by outlining a set of emotional elements originating in neuroscience leadership research (SCARF) that might either amplify or diminish the perceived the ease of use and perceived usefulness to technology usage relationships when participations engage in online learning situations. © 2023 Elsevier B.V., All rights reserved.","autonomy; entrepreneurial growth mindset; fairness; higher education sustainability; perceived ease of use (PEU); perceived usefulness (PU); sustainable online learning; technology acceptance model (TAM); video-based learning (VLB)","COVID-19; innovation; leadership; learning; perception; public attitude; sustainability; sustainable development"
"Ong, A.K.S.; German, J.D.; Redi, A.A.N.P.; Cordova, L.N.Z.; Longanilla, F.A.B.; Caprecho, N.L.; Javier, R.A.V.","Ong, Ardvin Kester S. (57221675282); German, Josephine D. (57202988970); Redi, Anak Agung Ngurah Perwira (56436570600); Cordova, Lara Nicole Z. (58248590200); Longanilla, Franscine Althea B. (58248821500); Caprecho, Neallo L. (58250001100); Javier, Rocksel Andry V. (58249294600)","57221675282; 57202988970; 56436570600; 58248590200; 58248821500; 58250001100; 58249294600","Antecedents of Behavioral Intentions for Purchasing Hybrid Cars Using Sustainability Theory of Planned Behavior Integrated with UTAUT2","2023","Sustainability (Switzerland)","17","10.3390/su15097657","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159381389&doi=10.3390%2Fsu15097657&partnerID=40&md5=bfc5486087064800ac85fdda6980eafe","Mapúa University, Manila, Philippines; Sampoerna University, South Jakarta, Indonesia; Mapúa University, Manila, Philippines","Ong, Ardvin Kester S., School of Industrial Engineering and Engineering Management, Mapúa University, Manila, Philippines; German, Josephine D., School of Industrial Engineering and Engineering Management, Mapúa University, Manila, Philippines; Redi, Anak Agung Ngurah Perwira, Department of Industrial Engineering, Sampoerna University, South Jakarta, Indonesia; Cordova, Lara Nicole Z., Young Innovators Research Center, Mapúa University, Manila, Philippines; Longanilla, Franscine Althea B., Young Innovators Research Center, Mapúa University, Manila, Philippines; Caprecho, Neallo L., Young Innovators Research Center, Mapúa University, Manila, Philippines; Javier, Rocksel Andry V., Young Innovators Research Center, Mapúa University, Manila, Philippines","Hybrid cars were developed and are widely utilized in developed countries due to their sustainability advantages. However, developing countries were seen to underutilize this product where research showed that the economic, societal, and environmental concerns were considered by consumers. The current study aimed to assess the behavioral intentions for purchasing hybrid cars with the use of an established new framework called sustainability theory of planned behavior (STPB) and integrated with the Unified Theory of Acceptance and Use of Technology (UTAUT2) model. A total of 1048 valid respondents were purposely gathered to completely assess the behavioral, technological, and sustainable domains of purchasing intentions of hybrid cars through structural equation modeling. From the results, the perceived economic concerns and perceived authority support showed the most significant factor indirectly affecting behavioral intention to purchase hybrid cars, followed by perceived environmental concern. All domains under the theory of planned behavior were significant. However, only performance expectancy, hedonic motivation, and price value were deemed significant on the technological aspect. With the underutilization of hybrid cars in the country, habit, effort expectancy, and facilitating conditions were insignificant. The theoretical framework can be used independently (STPB), or as a whole, for the evaluation of purchasing intention of eco-friendly or smart technologies products. This study was also able to provide implications on the behavioral, managerial, and sustainability aspects of hybrid cars. Lastly, the theoretical implications suggested that the sustainability theory of planned behavior may be extended or applied in holistically assessing different product evaluation, industries, and related studies—even in different countries. © 2023 Elsevier B.V., All rights reserved.","behavioral intentions; hybrid cars; sustainability; sustainability theory of planned behavior; UTAUT2","antecedent conditions; automobile; numerical model; sustainability; theoretical study"
"Zeng, F.; Wang, M.; Li, L.; Cai, S.","Zeng, Fangui (57219607036); Wang, Mengmeng (57818482500); Li, Lingzhe (58033593800); Cai, Siqi (58176159600)","57219607036; 57818482500; 58033593800; 58176159600","Survey on the acceptance of smart cars amongst middle-aged and elderly in China","2023","Technology in Society","24","10.1016/j.techsoc.2023.102234","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151916857&doi=10.1016%2Fj.techsoc.2023.102234&partnerID=40&md5=cf8e8ff95cd45a80145b5b08a03bcc2d","Hunan Institute of Engineering, Xiangtan, China; Wuhan University of Technology, Wuhan, China","Zeng, Fangui, Hunan Institute of Engineering, Xiangtan, China; Wang, Mengmeng, School of Art and Design, Wuhan University of Technology, Wuhan, China; Li, Lingzhe, Hunan Institute of Engineering, Xiangtan, China; Cai, Siqi, Hunan Institute of Engineering, Xiangtan, China","In several countries around the world, the ageing of their populations is accelerating. As middle-aged and elderly people get older, their physical functions gradually decline, and increasing problems with moving around become an important factor preventing them from leading active lives. The popularity of smart cars is going to play an important part in solving this problem. This makes it all the more important to have an accurate understanding of the attitude of middle-aged and elderly people via-à-vis smart cars, and to take those attitudes into consideration when designing, developing and promoting smart cars. Based on a large number of literature reviews and technology acceptance extension models like TAM and UTAUT, this study proposed and tested a model of the acceptance of smart cars amongst middle-aged and elderly people (MSCTAM) that includes external variables. Other factors that determined whether middle-aged and elderly people in China would accept smart cars were also taken into account. In terms of model verification, we used SEM of SPSS AMOS for fit indices and aggregation validity analysis. The hypothesis test part was based on model fit indices, discriminant validity and path analysis, while power analysis, using Python, was also conducted. The Wilcoxon's Sign Rank Test of SPPS was used for acceptance. For data collection, we mainly used a combination of online and offline questionnaire surveys, with subjects from various provinces and cities in China. A total of 293 questionnaires was collected, and 262 valid responses were obtained. The results showed that the attitudes towards use, perceived usefulness, enjoyment and social norms were significantly positively correlated with usage intention, while trust was positively correlated with usage intention. Affordability was negatively correlated with usage intention, perceived ease of use; reliability was significantly positively correlated with perceived usefulness; enjoyment was significantly positively correlated with perceived ease of use, perceived ease of use, perceived usefulness, personal innovation, and environment-friendliness. Symbolic value was significantly positively correlated with attitudes towards use, while safety risks and privacy risks were negatively correlated with attitudes towards use. Of the 16 hypotheses, 12 were supported, indicating that middle-aged and elderly people in China on the one hand have a positive and open attitude towards smart cars, but on the other, also have a number of concerns. The proposed model provides more refined survey models and data support for Chinese smart car developers and manufacturers, and furnishes them with references for the research field of technology acceptance models. The proposed model provides Chinese intelligent automobile development companies and distributors with a more refined survey model and data support, and offers references and guidance for further research of technology acceptance models. © 2023 Elsevier B.V., All rights reserved.","Acceptability; Middle-aged and elderly; Smart car; Technology acceptance model (TAM)","Acceptance tests; Behavioral research; Python; Acceptability; Elderly people; Fit indexes; Middle-aged and elderly; Perceived ease-of-use; Perceived usefulness; Smart car; Technology acceptance model; Usage intention; Regression analysis; adult; elderly population; numerical model; public attitude; survey; technology adoption; China"
"Al-Emran, M.; Griffy-Brown, C.","Al-Emran, Mostafa (56593108000); Griffy-Brown, Charla (6602083685)","56593108000; 6602083685","The role of technology adoption in sustainable development: Overview, opportunities, challenges, and future research agendas","2023","Technology in Society","164","10.1016/j.techsoc.2023.102240","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151338018&doi=10.1016%2Fj.techsoc.2023.102240&partnerID=40&md5=677312f2c0319637d59fb58adeb25873","British University in Dubai, Dubai, United Arab Emirates; Dijlah University College, Baghdad, Iraq; Pepperdine University, Malibu, United States","Al-Emran, Mostafa, Faculty of Engineering & IT, British University in Dubai, Dubai, United Arab Emirates, Department of Computer Techniques Engineering, Dijlah University College, Baghdad, Iraq; Griffy-Brown, Charla, Graziadio Business School, Pepperdine University, Malibu, United States","Digital technologies and innovative solutions play a crucial role in promoting sustainable development. However, it is important to acknowledge that these technological advancements may have both positive and negative impacts on sustainability. Therefore, it is imperative to gain a comprehensive understanding of the adoption of these technologies by individuals and organizations to achieve better sustainability outcomes. In this study, we aim to identify and analyze the key opportunities and challenges associated with technology adoption in sustainable development. Furthermore, we have identified several research gaps that need to be addressed in the future, and we have proposed various research agendas. These research agendas have been classified into four major categories. The first three categories are based on the three pillars of sustainability, namely the environment, the economy, and society. The fourth category is a general category that includes research agendas that can be applied to any of the three dimensions of sustainability. The insights drawn from this study provide several theoretical contributions to the existing literature and offer valuable practical implications for practitioners, policymakers, and developers. © 2023 Elsevier B.V., All rights reserved.","Economic sustainability; Environmental sustainability; Social sustainability; Technology acceptance; Technology adoption","Behavioral research; Environmental technology; Digital technologies; Economic sustainability; Environmental sustainability; Innovative solutions; Research agenda; Role of technologies; Social sustainability; Technology acceptance; Technology adoption; Technology solutions; Sustainable development; advanced technology; future prospect; innovation; sustainable development; technology adoption"
"Yan, C.; Siddik, A.B.; Akter, N.; Dong, Q.","Yan, Chen (59826340200); Siddik, Abu Bakkar (6507630070); Akter, Nazma (57277616300); Dong, Qianli (25929175900)","59826340200; 6507630070; 57277616300; 25929175900","Factors influencing the adoption intention of using mobile financial service during the COVID-19 pandemic: the role of FinTech","2023","Environmental Science and Pollution Research","85","10.1007/s11356-021-17437-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119276949&doi=10.1007%2Fs11356-021-17437-y&partnerID=40&md5=44d81a40dc7b3a8d8ab20cf87ebe3d1a","Chang'an University, Xi'an, China; Shaanxi University of Science and Technology, Xinyang, China; Ahsanullah University of Science and Technology, Dhaka, Bangladesh","Yan, Chen, School of Economics and Management, Chang'an University, Xi'an, China; Siddik, Abu Bakkar, School of Economics and Management, Shaanxi University of Science and Technology, Xinyang, China; Akter, Nazma, School of Business, Ahsanullah University of Science and Technology, Dhaka, Bangladesh; Dong, Qianli, School of Economics and Management, Chang'an University, Xi'an, China","Access to financial services is regarded as one of the most pressing issues confronting communities worldwide sequel to the COVID-19 pandemic. In this regard, FinTech applications such as mobile financial service (MFS) play an essential role in building resilience during the pandemic. Hence, the aim of the study is to investigate the role of MFS platforms in economic resilience by empirically evaluating the determinants that influence the intention of Bangladeshi users toward adopting MFS platforms during the COVID-19 pandemic, through an extension of the Unified Theory of Acceptance and Use of Technology (UTAUT). Using the core structures of the UTAUT, the theoretical model was constructed based on the consumption attributes of financial services such as perceived value, as well as additional situational factors from the extended valence framework, including risk and trust. To test the model, data was obtained from 227 potential MFS users in Bangladesh with the aid of a structured questionnaire survey. Subsequently, the Structural Equation Modeling (SEM) approach was used to analyze the data. The findings showed that social influence, perceived trust, and perceived value are strongly related to the intention of users to adopt MFS platforms, whereas, perceived risk, performance expectancy, and effort expectancy were observed to influence users’ perceived value of the MFS platforms during the COVID-19 pandemic. Interestingly, the study results indicated that the users’ perceived risk did not influence their intention to adopt MFS platforms during the pandemic. Therefore, the suggested adoption of the MFS framework during and after the pandemic could contribute to the existing research on the adoption of information technology (IT) through the expansion of the UTAUT, in which the performance and effort expectancy of users influence their intention to indirectly adopt MFS through perceived value. Finally, the significant policy implications and future research directions are further addressed. © 2023 Elsevier B.V., All rights reserved.","Bangladesh; COVID-19; FinTech; IT adoption; Mobile financial service (MFS); Perceived value; UTAUT","COVID-19; economic impact; environmental factor; financial services; information technology; model test; risk perception; technology adoption; Bangladesh; behavior; coronavirus disease 2019; human; pandemic; patient attitude; questionnaire; theoretical model; Humans; Intention; Models, Theoretical; Pandemics; Patient Acceptance of Health Care; Surveys and Questionnaires"
"Kandifar, R.; Retnowardhani, A.","Kandifar, Raymond (58513689900); Retnowardhani, Astari (55577317400)","58513689900; 55577317400","FACTORS THAT INCREASE INTEREST IN USING MUTUAL FUND APPLICATION WITH USER ACCEPTANCE APPROACHES","2023","Journal of Theoretical and Applied Information Technology","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166185242&partnerID=40&md5=cf242fdc494d4d7110268ee0a0d27d59","Bina Nusantara University, Jakarta, Indonesia","Kandifar, Raymond, Department of Management Information Systems, Bina Nusantara University, Jakarta, Indonesia; Retnowardhani, Astari, Department of Management Information Systems, Bina Nusantara University, Jakarta, Indonesia","There are many online investment applications that are not registered to OJK (Financial Service Authority) so that the legality of the application does not exist. This legality makes the credibility of other online investment applications highlighted. Credibility affects the intention to use an application. A mobile application success is also depending to intention to use. These issues should be highlighted because give direct impact both for legalized mutual fund application and the citizen. The purpose of this study is to determine the factors that affecting the intention to use mutual fund investment applications Bibit.id in the millennial generation. This Study use Technology Acceptance Model (TAM) that has modified by the Author. The modifications of Technology Acceptance Model using several external variables such as Financial Literacy, Trust, Social Influence, User Interface, User Experience. The results of the analyzed data show Financial Literacy, Perceived Ease of Use, Social Influence, User Experience, and Perceived Usefulness should be a consideration while develop the mutual fund application. In this research found Financial Literacy have positive impact to Intention to Use, more easily the application used makes the application more useful. The useful application affecting to intention to use. Social influence both working environment or family makes the application more easy to use. Users feel, the easier to use application better than the application interface. © 2023 Elsevier B.V., All rights reserved.","Bibit.id; Intention to Use; Mutual Fund Application; Technology Acceptance Model",""
"Gordon, J.A.; Balta-Ozkan, N.; Nabavi, S.A.","Gordon, Joel A. (57226322483); Balta-Ozkan, Nazmiye (16424528900); Nabavi, Seyed Ali (56573675600)","57226322483; 16424528900; 56573675600","Socio-technical barriers to domestic hydrogen futures: Repurposing pipelines, policies, and public perceptions","2023","Applied Energy","95","10.1016/j.apenergy.2023.120850","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148668523&doi=10.1016%2Fj.apenergy.2023.120850&partnerID=40&md5=b98cc44261f2d82b0d79e26c8a47bc7a","Cranfield University, Cranfield, United Kingdom","Gordon, Joel A., School of Water, Cranfield University, Cranfield, United Kingdom; Balta-Ozkan, Nazmiye, School of Water, Cranfield University, Cranfield, United Kingdom; Nabavi, Seyed Ali, School of Water, Cranfield University, Cranfield, United Kingdom","The feasibility of the global energy transition may rest on the ability of nations to harness hydrogen's potential for cross-sectoral decarbonization. In countries historically reliant on natural gas for domestic heating and cooking such as the UK, hydrogen may prove critical to meeting net-zero targets and strengthening energy security. In response, the UK government is targeting industrial decarbonization via hydrogen, with parallel interest in deploying hydrogen-fueled appliances for businesses and homes. However, prospective hydrogen futures, and especially the domestic hydrogen transition, face multiple barriers which reflect the cross-sectoral dynamics of achieving economies of scale and social acceptance. Addressing these challenges calls for a deep understanding of socio-technical factors across different scales of the hydrogen economy. In response, this paper develops a socio-technical systems framework for overcoming barriers to the domestic transition, which is applied to the UK context. The paper demonstrates that future strategies should account for interactions between political, techno-economic, technical, market, and social dimensions of the hydrogen transition. In parallel to techno-economic feasibility, the right policies will be needed to create an even playing field for green hydrogen technologies, while also supporting stakeholder symbiosis and consumer buy-in. Future studies should grapple with how an effective repurposing of pipelines, policies, and public perceptions can be aligned to accelerate the development of the hydrogen economy, with maximum net benefits for society and the environment. © 2023 Elsevier B.V., All rights reserved.","Decarbonization; Domestic hydrogen transition; Public perceptions; Socio-technical systems; Techno-economic barriers","Binary alloys; Decarbonization; Economics; Pipelines; Decarbonisation; Domestic hydrogen transition; Energy transitions; Global energy; Hydrogen economy; Public perception; Repurposing; Socio-technical barriers; Sociotechnical systems; Techno-economic barriers; Energy security; government; natural gas; perception; pipeline; policy approach; stakeholder; strategic approach; United Kingdom"
"Murguia, D.; Demian, P.; Soetanto, R.","Murguia, Danny (57192006663); Demian, Peter (6508180243); Soetanto, Robby (8870442200)","57192006663; 6508180243; 8870442200","The role of the industry's cultural-cognitive elements on actors' intention to adopt BIM: an empirical study in Peru","2023","Engineering, Construction and Architectural Management","15","10.1108/ECAM-08-2021-0743","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120571833&doi=10.1108%2FECAM-08-2021-0743&partnerID=40&md5=b1ba2f64a0d0215835bb8b01def6bd05","Pontificia Universidad Catolica del Peru, Lima, Peru; Loughborough University, Loughborough, United Kingdom","Murguia, Danny, Department of Engineering, Pontificia Universidad Catolica del Peru, Lima, Peru; Demian, Peter, Department of Civil and Building Engineering, Loughborough University, Loughborough, United Kingdom; Soetanto, Robby, Department of Civil and Building Engineering, Loughborough University, Loughborough, United Kingdom","Purpose: The current understanding of building information modelling (BIM) adoption often neglects the industry context in which BIM is deployed. This is particularly problematic when policymakers are planning to enact top-down policies to promote BIM adoption in public-funded construction. Therefore, the aim of this study is to establish the industry-level factors that constraint or enable actors' intention to adopt BIM. Design/methodology/approach: Using institutional theory with an emphasis on the cultural-cognitive elements, the authors aim to complement the understanding of BIM adoption by incorporating institutional elements into the unified theory of acceptance and use of technology (UTAUT). The cultural-cognitive elements were extracted from focus groups and interviews with architecture, construction and engineering (AEC) professionals in Peru. A modified UTAUT was empirically tested using confirmatory factor analysis (CFA) and structural equation modelling (SEM) with a dataset from 171 questionnaire responses. Findings: The industry characteristics, standardisation, affordability and technology/methodology definition of BIM were found to be the cultural-cognitive elements having direct effects on individual reactions to BIM. These findings suggest that BIM adoption policies should focus on designing incentives schemes, training/educating professionals on BIM collaborative processes and developing/adapting applicable standards. However, a BIM adoption mandate would require policymakers to create collaborative procurement environments in tandem with information management and process standards. Practical implications: Findings can be used by policymakers to significantly promote BIM adoption in contexts without a government mandate for public sector construction. Originality/value: The study of institutional elements on BIM adoption is still limited. This study provides empirical evidence on how the cultural-cognitive elements of the industry context are associated with actors' intention to adopt BIM. Therefore, this study bridges industry and individual levels of analysis. Furthermore, this study enables policymakers to initiate actions that significantly encourage BIM adoption. © 2023 Elsevier B.V., All rights reserved.","Building information modelling; Construction industry; Cultural-cognitive elements; Institutions; Peru","Architectural design; Factor analysis; Information management; Information theory; 'current; Building Information Modelling; Cognitive elements; Cultural-cognitive element; Empirical studies; Industry contexts; IS planning; Peru; Policy makers; The unified theory of acceptance and use of technology(UTAUT); Construction industry"
